37, 0.854
37 40, 0.961
37 40 1, 0.947
37 40 1 36, 0.927
37 40 1 36 4, 0.902
37 40 1 36 4 15, 0.876
37 40 1 36 4 15 30, 0.861
37 40 1 36 4 15 30 11, 0.846
37 40 1 36 4 15 30 11 29, 0.838
37 40 1 36 4 15 30 11 29 18, 0.839
37 40 1 36 4 15 30 11 29 18 16, 0.825
37 40 1 36 4 15 30 11 29 18 16 3, 0.806
37 40 1 36 4 15 30 11 29 18 16 3 31, 0.800
37 40 1 36 4 15 30 11 29 18 16 3 31 24, 0.797
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27, 0.798
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6, 0.790
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21, 0.780
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19, 0.770
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20, 0.772
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7, 0.773
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9, 0.775
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10, 0.780
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23, 0.774
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35, 0.769
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5, 0.772
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39, 0.768
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14, 0.762
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32, 0.761
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26, 0.765
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38, 0.761
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2, 0.756
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25, 0.757
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17, 0.761
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33, 0.768
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34, 0.761
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34 28, 0.742
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34 28 22, 0.734
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34 28 22 13, 0.728
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34 28 22 13 8, 0.717
37 40 1 36 4 15 30 11 29 18 16 3 31 24 27 6 21 19 20 7 9 10 23 35 5 39 14 32 26 38 2 25 17 33 34 28 22 13 8 12, 0.697
